SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
46,616520.629,3097735.645,5.999,,,Normal
47,616520.055,3097734.827,5.999,,,Normal
48,616519.480,3097734.008,5.999,,,Normal
49,616518.906,3097733.190,5.999,,,Normal
50,616518.331,3097732.371,5.999,,,Normal
51,616517.757,3097731.553,5.998,,,Normal
52,616517.182,3097730.734,5.972,,,Normal
53,616516.608,3097729.916,5.946,,,Normal
54,616516.033,3097729.097,5.919,,,Normal
55,616515.459,3097728.278,5.893,,,Normal
56,616514.884,3097727.460,5.867,,,Normal
57,616514.310,3097726.641,5.840,,,Normal
58,616513.736,3097725.823,5.814,,,Normal
59,616513.161,3097725.004,5.788,,,Normal
60,616512.587,3097724.186,5.761,,,Normal
61,616512.012,3097723.367,5.735,,,Normal
62,616511.438,3097722.549,5.709,,,Normal
63,616510.863,3097721.730,5.683,,,Normal
64,616510.289,3097720.912,5.656,,,Normal
65,616509.714,3097720.093,5.630,,,Normal
66,616509.140,3097719.275,5.604,,,Normal
67,616508.565,3097718.456,5.577,,,Normal
68,616507.991,3097717.637,5.551,,,Normal
69,616507.417,3097716.819,5.525,,,Normal
70,616506.842,3097716.000,5.498,,,Normal
71,616506.268,3097715.182,5.472,,,Normal
72,616505.693,3097714.363,5.446,,,Normal
73,616505.119,3097713.545,5.419,,,Normal
74,616504.544,3097712.726,5.393,,,Normal
75,616503.970,3097711.908,5.367,,,Normal
76,616503.395,3097711.089,5.340,,,Normal
77,616502.821,3097710.271,5.314,,,Normal
78,616502.246,3097709.452,5.288,,,Normal
79,616501.672,3097708.634,5.261,,,Normal
80,616501.098,3097707.815,5.235,,,Normal
81,616500.523,3097706.996,5.209,,,Normal
82,616499.949,3097706.178,5.206,,,Normal
83,616499.374,3097705.359,5.203,,,Normal
84,616498.800,3097704.541,5.200,,,Normal
85,616498.210,3097703.734,5.200,,,Normal
86,616497.581,3097702.956,5.201,,,Normal
87,616496.914,3097702.211,5.200,,,Normal
88,616496.211,3097701.500,5.200,,,Normal
89,616495.473,3097700.826,5.200,,,Normal
90,616494.702,3097700.189,5.200,,,Normal
91,616493.900,3097699.591,5.201,,,Normal
92,616493.070,3097699.034,5.200,,,Normal
93,616492.213,3097698.520,5.201,,,Normal
94,616491.331,3097698.049,5.200,,,Normal
95,616490.426,3097697.622,5.200,,,Normal
96,616489.502,3097697.241,5.201,,,Normal
97,616488.559,3097696.907,5.200,,,Normal
98,616487.601,3097696.621,5.201,,,Normal
99,616486.630,3097696.383,5.200,,,Normal
100,616485.649,3097696.193,5.201,,,Normal
101,616484.659,3097696.053,5.200,,,Normal
102,616483.663,3097695.962,5.200,,,Normal
103,616482.664,3097695.911,5.200,,,Normal
104,616481.665,3097695.864,5.200,,,Normal
105,616480.666,3097695.816,5.200,,,Normal
106,616479.668,3097695.768,5.200,,,Normal
107,616478.669,3097695.721,5.200,,,Normal
108,616477.670,3097695.673,5.200,,,Normal
109,616476.671,3097695.625,5.200,,,Normal
110,616475.672,3097695.578,5.200,,,Normal
111,616474.673,3097695.530,5.200,,,Normal
112,616473.674,3097695.483,5.200,,,Normal
113,616472.675,3097695.435,5.200,,,Normal
114,616471.677,3097695.387,5.200,,,Normal
115,616470.678,3097695.340,5.200,,,Normal
116,616469.679,3097695.292,5.200,,,Normal
117,616468.680,3097695.245,5.200,,,Normal
118,616467.681,3097695.197,5.200,,,Normal
119,616466.682,3097695.149,5.200,,,Normal
120,616465.683,3097695.102,5.200,,,Normal
121,616464.685,3097695.054,5.200,,,Normal
122,616463.686,3097695.006,5.200,,,Normal
123,616462.687,3097694.959,5.200,,,Normal
124,616461.688,3097694.911,5.200,,,Normal
125,616460.689,3097694.864,5.200,,,Normal
126,616459.690,3097694.816,5.200,,,Normal
127,616458.691,3097694.768,5.200,,,Normal
128,616457.692,3097694.721,5.200,,,Normal
129,616456.694,3097694.673,5.200,,,Normal
130,616455.695,3097694.626,5.200,,,Normal
131,616454.696,3097694.578,5.200,,,Normal
132,616453.697,3097694.530,5.200,,,Normal
133,616452.698,3097694.483,5.200,,,Normal
134,616451.699,3097694.435,5.200,,,Normal
135,616450.700,3097694.387,5.200,,,Normal
136,616449.702,3097694.340,5.200,,,Normal
137,616448.703,3097694.292,5.200,,,Normal
138,616447.704,3097694.245,5.200,,,Normal
139,616446.705,3097694.197,5.200,,,Normal
140,616445.706,3097694.149,5.200,,,Normal
141,616444.707,3097694.102,5.200,,,Normal
142,616443.708,3097694.054,5.200,,,Normal
143,616442.710,3097694.006,5.200,,,Normal
144,616441.711,3097693.959,5.200,,,Normal
145,616440.712,3097693.911,5.200,,,Normal
146,616439.713,3097693.864,5.200,,,Normal
147,616438.714,3097693.816,5.200,,,Normal
148,616437.715,3097693.768,5.200,,,Normal
149,616436.716,3097693.721,5.200,,,Normal
150,616435.717,3097693.673,5.200,,,Normal
151,616434.719,3097693.626,5.200,,,Normal
152,616433.720,3097693.578,5.200,,,Normal
153,616432.721,3097693.530,5.200,,,Normal
154,616431.722,3097693.483,5.200,,,Normal
155,616430.723,3097693.435,5.200,,,Normal
156,616429.724,3097693.387,5.200,,,Normal
157,616428.725,3097693.340,5.200,,,Normal
158,616427.727,3097693.292,5.200,,,Normal
159,616426.728,3097693.245,5.200,,,Normal
160,616425.729,3097693.197,5.200,,,Normal
161,616424.730,3097693.149,5.200,,,Normal
162,616423.731,3097693.102,5.200,,,Normal
163,616422.732,3097693.054,5.200,,,Normal
164,616421.733,3097693.006,5.200,,,Normal
165,616420.734,3097692.959,5.200,,,Normal
166,616419.736,3097692.911,5.200,,,Normal
167,616418.737,3097692.864,5.200,,,Normal
168,616417.738,3097692.816,5.200,,,Normal
169,616416.739,3097692.768,5.200,,,Normal
170,616415.740,3097692.721,5.200,,,Normal
171,616414.741,3097692.673,5.200,,,Normal
172,616413.742,3097692.626,5.200,,,Normal
173,616412.744,3097692.578,5.200,,,Normal
174,616411.745,3097692.530,5.200,,,Normal
175,616410.746,3097692.483,5.200,,,Normal
176,616409.747,3097692.435,5.200,,,Normal
177,616408.748,3097692.387,5.200,,,Normal
178,616407.749,3097692.340,5.200,,,Normal
179,616406.750,3097692.292,5.200,,,Normal
180,616405.751,3097692.245,5.200,,,Normal
181,616404.753,3097692.197,5.200,,,Normal
182,616403.754,3097692.149,5.200,,,Normal
183,616402.755,3097692.102,5.200,,,Normal
184,616401.756,3097692.054,5.200,,,Normal
185,616400.757,3097692.006,5.200,,,Normal
186,616399.758,3097691.959,5.200,,,Normal
187,616398.759,3097691.911,5.200,,,Normal
188,616397.761,3097691.864,5.200,,,Normal
189,616396.762,3097691.816,5.200,,,Normal
190,616395.763,3097691.768,5.200,,,Normal
191,616394.764,3097691.721,5.200,,,Normal
192,616393.765,3097691.673,5.200,,,Normal
193,616392.766,3097691.626,5.200,,,Normal
194,616391.767,3097691.578,5.200,,,Normal
195,616390.769,3097691.530,5.200,,,Normal
196,616389.770,3097691.483,5.200,,,Normal
197,616388.771,3097691.435,5.200,,,Normal
198,616387.772,3097691.387,5.200,,,Normal
199,616386.773,3097691.340,5.200,,,Normal
200,616385.774,3097691.292,5.200,,,Normal
201,616384.775,3097691.245,5.200,,,Normal
202,616383.776,3097691.197,5.200,,,Normal
203,616382.778,3097691.149,5.200,,,Normal
204,616381.779,3097691.102,5.200,,,Normal
205,616380.780,3097691.054,5.200,,,Normal
206,616379.781,3097691.006,5.200,,,Normal
207,616378.782,3097690.959,5.200,,,Normal
208,616377.783,3097690.911,5.200,,,Normal
209,616376.784,3097690.864,5.200,,,Normal
210,616375.786,3097690.816,5.200,,,Normal
211,616374.787,3097690.768,5.200,,,Normal
212,616373.788,3097690.721,5.200,,,Normal
213,616372.789,3097690.673,5.200,,,Normal
214,616371.790,3097690.626,5.200,,,Normal
215,616370.791,3097690.578,5.200,,,Normal
216,616369.792,3097690.530,5.200,,,Normal
217,616368.793,3097690.483,5.200,,,Normal
218,616367.795,3097690.435,5.200,,,Normal
219,616366.796,3097690.387,5.200,,,Normal
220,616365.797,3097690.340,5.200,,,Normal
221,616364.798,3097690.292,5.200,,,Normal
222,616363.799,3097690.245,5.200,,,Normal
223,616362.800,3097690.197,5.200,,,Normal
224,616361.801,3097690.149,5.200,,,Normal
225,616360.803,3097690.102,5.200,,,Normal
226,616359.804,3097690.054,5.200,,,Normal
227,616358.805,3097690.006,5.200,,,Normal
228,616357.806,3097689.959,5.200,,,Normal
229,616356.807,3097689.911,5.200,,,Normal
230,616355.808,3097689.864,5.200,,,Normal
231,616354.809,3097689.816,5.200,,,Normal
232,616353.810,3097689.768,5.200,,,Normal
233,616352.812,3097689.721,5.200,,,Normal
234,616351.813,3097689.673,5.200,,,Normal
235,616350.814,3097689.626,5.200,,,Normal
236,616349.815,3097689.578,5.200,,,Normal
237,616348.816,3097689.530,5.200,,,Normal
238,616347.817,3097689.483,5.200,,,Normal
239,616346.818,3097689.435,5.200,,,Normal
240,616345.820,3097689.387,5.200,,,Normal
241,616344.821,3097689.340,5.200,,,Normal
242,616343.822,3097689.292,5.200,,,Normal
243,616342.823,3097689.245,5.200,,,Normal
244,616341.824,3097689.197,5.200,,,Normal
245,616340.825,3097689.149,5.200,,,Normal
246,616339.827,3097689.090,5.200,,,Normal
247,616338.831,3097689.006,5.200,,,Normal
248,616337.837,3097688.896,5.200,,,Normal
249,616336.846,3097688.762,5.200,,,Normal
250,616335.858,3097688.604,5.200,,,Normal
251,616334.875,3097688.420,5.200,,,Normal
252,616333.897,3097688.212,5.200,,,Normal
253,616332.925,3097687.980,5.200,,,Normal
254,616331.958,3097687.724,5.200,,,Normal
255,616330.998,3097687.443,5.200,,,Normal
256,616330.046,3097687.139,5.200,,,Normal
257,616329.101,3097686.810,5.200,,,Normal
258,616328.165,3097686.459,5.200,,,Normal
259,616327.238,3097686.084,5.200,,,Normal
260,616326.321,3097685.686,5.200,,,Normal
261,616325.414,3097685.265,5.200,,,Normal
262,616324.517,3097684.821,5.200,,,Normal
263,616323.632,3097684.356,5.200,,,Normal
264,616322.759,3097683.868,5.200,,,Normal
265,616321.899,3097683.359,5.200,,,Normal
266,616321.051,3097682.828,5.200,,,Normal
267,616320.217,3097682.276,5.200,,,Normal
268,616319.397,3097681.704,5.200,,,Normal
269,616318.592,3097681.111,5.200,,,Normal
270,616317.802,3097680.499,5.200,,,Normal
271,616317.027,3097679.867,5.200,,,Normal
272,616316.268,3097679.215,5.200,,,Normal
273,616315.526,3097678.545,5.200,,,Normal
274,616314.801,3097677.857,5.200,,,Normal
275,616314.093,3097677.150,5.200,,,Normal
276,616313.403,3097676.426,5.200,,,Normal
277,616312.731,3097675.685,5.200,,,Normal
278,616312.079,3097674.928,5.200,,,Normal
279,616311.445,3097674.154,5.200,,,Normal
280,616310.831,3097673.365,5.200,,,Normal
281,616310.236,3097672.561,5.200,,,Normal
282,616309.662,3097671.742,5.200,,,Normal
283,616309.109,3097670.909,5.200,,,Normal
284,616308.577,3097670.063,5.200,,,Normal
285,616308.066,3097669.203,5.200,,,Normal
286,616307.576,3097668.331,5.200,,,Normal
287,616307.102,3097667.451,5.200,,,Normal
288,616306.627,3097666.571,5.200,,,Normal
289,616306.153,3097665.690,5.200,,,Normal
290,616305.679,3097664.810,5.200,,,Normal
291,616305.205,3097663.930,5.200,,,Normal
292,616304.730,3097663.049,5.200,,,Normal
293,616304.256,3097662.169,5.200,,,Normal
294,616303.782,3097661.288,5.200,,,Normal
295,616303.308,3097660.408,5.200,,,Normal
296,616302.833,3097659.528,5.200,,,Normal
297,616302.359,3097658.647,5.200,,,Normal
298,616301.885,3097657.767,5.200,,,Normal
299,616301.411,3097656.886,5.200,,,Normal
300,616300.937,3097656.006,5.200,,,Normal
301,616300.462,3097655.126,5.200,,,Normal
302,616299.988,3097654.245,5.200,,,Normal
303,616299.514,3097653.365,5.200,,,Normal
304,616299.040,3097652.484,5.200,,,Normal
305,616298.565,3097651.604,5.200,,,Normal
306,616298.091,3097650.724,5.200,,,Normal
307,616297.617,3097649.843,5.200,,,Normal
308,616297.143,3097648.963,5.200,,,Normal
309,616296.668,3097648.082,5.200,,,Normal
310,616296.194,3097647.202,5.200,,,Normal
311,616295.720,3097646.322,5.200,,,Normal
312,616295.246,3097645.441,5.200,,,Normal
313,616294.772,3097644.561,5.200,,,Normal
314,616294.297,3097643.680,5.200,,,Normal
315,616293.823,3097642.800,5.200,,,Normal
316,616293.349,3097641.920,5.200,,,Normal
317,616292.875,3097641.039,5.200,,,Normal
318,616292.400,3097640.159,5.200,,,Normal
319,616291.926,3097639.278,5.200,,,Normal
320,616291.452,3097638.398,5.200,,,Normal
321,616290.978,3097637.518,5.200,,,Normal
322,616290.503,3097636.637,5.200,,,Normal
323,616290.029,3097635.757,5.200,,,Normal
324,616289.555,3097634.876,5.200,,,Normal
325,616289.081,3097633.996,5.200,,,Normal
326,616288.607,3097633.116,5.200,,,Normal
327,616288.132,3097632.235,5.200,,,Normal
328,616287.658,3097631.355,5.200,,,Normal
329,616287.184,3097630.474,5.200,,,Normal
330,616286.710,3097629.594,5.200,,,Normal
331,616286.235,3097628.714,5.200,,,Normal
332,616285.761,3097627.833,5.200,,,Normal
333,616285.287,3097626.953,5.200,,,Normal
334,616284.813,3097626.072,5.200,,,Normal
335,616284.338,3097625.192,5.200,,,Normal
336,616283.864,3097624.312,5.200,,,Normal
337,616283.390,3097623.431,5.200,,,Normal
338,616282.916,3097622.551,5.200,,,Normal
339,616282.442,3097621.670,5.200,,,Normal
340,616281.967,3097620.790,5.200,,,Normal
341,616281.493,3097619.910,5.200,,,Normal
342,616281.019,3097619.029,5.200,,,Normal
343,616280.545,3097618.149,5.200,,,Normal
344,616280.070,3097617.268,5.200,,,Normal
345,616279.596,3097616.388,5.200,,,Normal
346,616279.122,3097615.508,5.200,,,Normal
347,616278.648,3097614.627,5.200,,,Normal
348,616278.173,3097613.747,5.200,,,Normal
349,616277.699,3097612.866,5.200,,,Normal
350,616277.225,3097611.986,5.200,,,Normal
351,616276.751,3097611.106,5.200,,,Normal
352,616276.277,3097610.225,5.200,,,Normal
353,616275.802,3097609.345,5.200,,,Normal
354,616275.328,3097608.464,5.200,,,Normal
355,616274.854,3097607.584,5.200,,,Normal
356,616274.380,3097606.704,5.200,,,Normal
357,616273.905,3097605.823,5.200,,,Normal
358,616273.431,3097604.943,5.200,,,Normal
359,616272.957,3097604.062,5.200,,,Normal
360,616272.483,3097603.182,5.200,,,Normal
361,616272.008,3097602.302,5.200,,,Normal
362,616271.534,3097601.421,5.200,,,Normal
363,616271.060,3097600.541,5.200,,,Normal
364,616270.586,3097599.660,5.200,,,Normal
365,616270.112,3097598.780,5.200,,,Normal
366,616269.637,3097597.900,5.200,,,Normal
367,616269.163,3097597.019,5.200,,,Normal
368,616268.689,3097596.139,5.200,,,Normal
369,616268.215,3097595.258,5.200,,,Normal
370,616267.740,3097594.378,5.200,,,Normal
371,616267.266,3097593.498,5.200,,,Normal
372,616266.792,3097592.617,5.200,,,Normal
373,616266.318,3097591.737,5.200,,,Normal
374,616265.843,3097590.856,5.200,,,Normal
375,616265.369,3097589.976,5.200,,,Normal
376,616264.895,3097589.096,5.200,,,Normal
377,616264.421,3097588.215,5.200,,,Normal
378,616263.947,3097587.335,5.200,,,Normal
379,616263.472,3097586.454,5.200,,,Normal
380,616262.998,3097585.574,5.200,,,Normal
381,616262.524,3097584.694,5.200,,,Normal
382,616262.050,3097583.813,5.200,,,Normal
383,616261.575,3097582.933,5.200,,,Normal
384,616261.101,3097582.052,5.200,,,Normal
385,616260.627,3097581.172,5.200,,,Normal
386,616260.153,3097580.292,5.200,,,Normal
387,616259.678,3097579.411,5.200,,,Normal
388,616259.204,3097578.531,5.200,,,Normal
389,616258.730,3097577.650,5.200,,,Normal
390,616258.256,3097576.770,5.200,,,Normal
391,616257.782,3097575.890,5.200,,,Normal
392,616257.307,3097575.009,5.200,,,Normal
393,616256.833,3097574.129,5.200,,,Normal
394,616256.359,3097573.248,5.200,,,Normal
395,616255.885,3097572.368,5.200,,,Normal
396,616255.410,3097571.488,5.200,,,Normal
397,616254.936,3097570.607,5.200,,,Normal
398,616254.462,3097569.727,5.200,,,Normal
399,616253.988,3097568.846,5.200,,,Normal
400,616253.513,3097567.966,5.200,,,Normal
401,616253.039,3097567.086,5.200,,,Normal
402,616252.565,3097566.205,5.200,,,Normal
403,616252.091,3097565.325,5.200,,,Normal
404,616251.616,3097564.444,5.200,,,Normal
405,616251.142,3097563.564,5.200,,,Normal
406,616250.668,3097562.684,5.200,,,Normal
407,616250.194,3097561.803,5.200,,,Normal
408,616249.720,3097560.923,5.200,,,Normal
409,616249.245,3097560.042,5.200,,,Normal
410,616248.771,3097559.162,5.200,,,Normal
411,616248.297,3097558.282,5.200,,,Normal
412,616247.823,3097557.401,5.200,,,Normal
413,616247.348,3097556.521,5.200,,,Normal
414,616246.874,3097555.640,5.200,,,Normal
415,616246.400,3097554.760,5.200,,,Normal
416,616245.926,3097553.880,5.200,,,Normal
417,616245.451,3097552.999,5.200,,,Normal
418,616244.977,3097552.119,5.200,,,Normal
419,616244.503,3097551.238,5.200,,,Normal
420,616244.029,3097550.358,5.200,,,Normal
421,616243.555,3097549.478,5.200,,,Normal
422,616243.080,3097548.597,5.200,,,Normal
423,616242.606,3097547.717,5.200,,,Normal
424,616242.132,3097546.836,5.200,,,Normal
425,616241.658,3097545.956,5.200,,,Normal
426,616241.183,3097545.076,5.200,,,Normal
427,616240.709,3097544.195,5.200,,,Normal
428,616240.235,3097543.315,5.200,,,Normal
429,616239.761,3097542.434,5.200,,,Normal
430,616239.286,3097541.554,5.200,,,Normal
431,616238.812,3097540.674,5.200,,,Normal
432,616238.338,3097539.793,5.200,,,Normal
433,616237.864,3097538.913,5.200,,,Normal
434,616237.390,3097538.032,5.200,,,Normal
435,616236.915,3097537.152,5.200,,,Normal
436,616236.441,3097536.272,5.200,,,Normal
437,616235.967,3097535.391,5.200,,,Normal
438,616235.493,3097534.511,5.200,,,Normal
439,616235.018,3097533.630,5.200,,,Normal
440,616234.544,3097532.750,5.200,,,Normal
441,616234.070,3097531.870,5.200,,,Normal
442,616233.596,3097530.989,5.200,,,Normal
443,616233.121,3097530.109,5.200,,,Normal
444,616232.647,3097529.228,5.200,,,Normal
445,616232.173,3097528.348,5.200,,,Normal
446,616231.699,3097527.468,5.200,,,Normal
447,616231.225,3097526.587,5.200,,,Normal
448,616230.750,3097525.707,5.200,,,Normal
449,616230.276,3097524.826,5.200,,,Normal
450,616229.802,3097523.946,5.200,,,Normal
451,616229.328,3097523.066,5.200,,,Normal
452,616228.853,3097522.185,5.200,,,Normal
453,616228.379,3097521.305,5.200,,,Normal
454,616227.905,3097520.424,5.200,,,Normal
455,616227.431,3097519.544,5.200,,,Normal
456,616226.956,3097518.664,5.200,,,Normal
457,616226.482,3097517.783,5.200,,,Normal
458,616226.008,3097516.903,5.200,,,Normal
459,616225.534,3097516.022,5.200,,,Normal
460,616225.060,3097515.142,5.200,,,Normal
461,616224.585,3097514.262,5.200,,,Normal
462,616224.111,3097513.381,5.200,,,Normal
463,616223.637,3097512.501,5.200,,,Normal
464,616223.163,3097511.620,5.200,,,Normal
465,616222.688,3097510.740,5.200,,,Normal
466,616222.214,3097509.860,5.200,,,Normal
467,616221.740,3097508.979,5.200,,,Normal
468,616221.266,3097508.099,5.200,,,Normal
469,616220.791,3097507.218,5.200,,,Normal
470,616220.317,3097506.338,5.200,,,Normal
471,616219.843,3097505.457,5.200,,,Normal
472,616219.369,3097504.577,5.200,,,Normal
473,616218.895,3097503.697,5.200,,,Normal
474,616218.420,3097502.816,5.200,,,Normal
475,616217.946,3097501.936,5.200,,,Normal
476,616217.472,3097501.055,5.200,,,Normal
477,616216.998,3097500.175,5.200,,,Normal
478,616216.523,3097499.295,5.200,,,Normal
479,616216.049,3097498.414,5.200,,,Normal
480,616215.575,3097497.534,5.200,,,Normal
481,616215.101,3097496.653,5.200,,,Normal
482,616214.626,3097495.773,5.200,,,Normal
483,616214.152,3097494.893,5.200,,,Normal
484,616213.678,3097494.012,5.200,,,Normal
485,616213.204,3097493.132,5.200,,,Normal
486,616212.730,3097492.251,5.200,,,Normal
487,616212.255,3097491.371,5.200,,,Normal
488,616211.781,3097490.491,5.200,,,Normal
489,616211.307,3097489.610,5.200,,,Normal
490,616210.833,3097488.730,5.200,,,Normal
491,616210.358,3097487.849,5.200,,,Normal
492,616209.884,3097486.969,5.200,,,Normal
493,616209.410,3097486.089,5.200,,,Normal
494,616208.936,3097485.208,5.200,,,Normal
495,616208.461,3097484.328,5.200,,,Normal
496,616207.987,3097483.447,5.200,,,Normal
497,616207.513,3097482.567,5.200,,,Normal
498,616207.039,3097481.687,5.200,,,Normal
499,616206.565,3097480.806,5.200,,,Normal
500,616206.090,3097479.926,5.200,,,Normal
501,616205.616,3097479.045,5.200,,,Normal
502,616205.142,3097478.165,5.200,,,Normal
503,616204.668,3097477.285,5.200,,,Normal
504,616204.193,3097476.404,5.200,,,Normal
505,616203.719,3097475.524,5.200,,,Normal
506,616203.245,3097474.643,5.200,,,Normal
507,616202.771,3097473.763,5.200,,,Normal
508,616202.296,3097472.883,5.200,,,Normal
509,616201.822,3097472.002,5.200,,,Normal
510,616201.348,3097471.122,5.200,,,Normal
511,616200.874,3097470.241,5.200,,,Normal
512,616200.400,3097469.361,5.200,,,Normal
513,616199.925,3097468.481,5.200,,,Normal
514,616199.451,3097467.600,5.200,,,Normal
515,616198.977,3097466.720,5.200,,,Normal
516,616198.503,3097465.839,5.200,,,Normal
517,616198.028,3097464.959,5.200,,,Normal
518,616197.554,3097464.079,5.200,,,Normal
519,616197.080,3097463.198,5.200,,,Normal
520,616196.606,3097462.318,5.200,,,Normal
521,616196.131,3097461.437,5.200,,,Normal
522,616195.657,3097460.557,5.200,,,Normal
523,616195.183,3097459.677,5.200,,,Normal
524,616194.709,3097458.796,5.200,,,Normal
525,616194.235,3097457.916,5.200,,,Normal
526,616193.760,3097457.035,5.200,,,Normal
527,616193.286,3097456.155,5.200,,,Normal
528,616192.812,3097455.275,5.200,,,Normal
529,616192.338,3097454.394,5.200,,,Normal
530,616191.863,3097453.514,5.200,,,Normal
531,616191.389,3097452.633,5.200,,,Normal
532,616190.915,3097451.753,5.200,,,Normal
533,616190.441,3097450.873,5.200,,,Normal
534,616189.966,3097449.992,5.200,,,Normal
535,616189.492,3097449.112,5.200,,,Normal
536,616189.018,3097448.231,5.200,,,Normal
537,616188.544,3097447.351,5.200,,,Normal
538,616188.070,3097446.471,5.200,,,Normal
539,616187.595,3097445.590,5.200,,,Normal
540,616187.121,3097444.710,5.200,,,Normal
541,616186.647,3097443.829,5.200,,,Normal
542,616186.173,3097442.949,5.200,,,Normal
543,616185.698,3097442.069,5.200,,,Normal
544,616185.224,3097441.188,5.200,,,Normal
545,616184.750,3097440.308,5.200,,,Normal
546,616184.276,3097439.427,5.200,,,Normal
547,616183.801,3097438.547,5.200,,,Normal
548,616183.327,3097437.667,5.200,,,Normal
549,616182.853,3097436.786,5.200,,,Normal
550,616182.379,3097435.906,5.200,,,Normal
551,616181.905,3097435.025,5.200,,,Normal
552,616181.430,3097434.145,5.200,,,Normal
553,616180.956,3097433.265,5.200,,,Normal
554,616180.482,3097432.384,5.200,,,Normal
555,616180.008,3097431.504,5.200,,,Normal
556,616179.533,3097430.623,5.200,,,Normal
557,616179.059,3097429.743,5.200,,,Normal
558,616178.585,3097428.863,5.200,,,Normal
559,616178.111,3097427.982,5.200,,,Normal
560,616177.636,3097427.102,5.200,,,Normal
561,616177.162,3097426.221,5.200,,,Normal
562,616176.688,3097425.341,5.200,,,Normal
563,616176.214,3097424.461,5.200,,,Normal
564,616175.740,3097423.580,5.200,,,Normal
565,616175.265,3097422.700,5.200,,,Normal
566,616174.791,3097421.819,5.200,,,Normal
567,616174.317,3097420.939,5.200,,,Normal
568,616173.843,3097420.059,5.200,,,Normal
569,616173.368,3097419.178,5.200,,,Normal
570,616172.894,3097418.298,5.200,,,Normal
571,616172.420,3097417.417,5.200,,,Normal
572,616171.946,3097416.537,5.200,,,Normal
573,616171.471,3097415.657,5.200,,,Normal
574,616170.997,3097414.776,5.200,,,Normal
575,616170.523,3097413.896,5.200,,,Normal
576,616170.049,3097413.015,5.200,,,Normal
577,616169.575,3097412.135,5.200,,,Normal
578,616169.100,3097411.255,5.200,,,Normal
579,616168.626,3097410.374,5.200,,,Normal
580,616168.152,3097409.494,5.200,,,Normal
581,616167.678,3097408.613,5.200,,,Normal
582,616167.203,3097407.733,5.200,,,Normal
583,616166.729,3097406.853,5.200,,,Normal
584,616166.255,3097405.972,5.200,,,Normal
585,616165.781,3097405.092,5.200,,,Normal
586,616165.306,3097404.211,5.200,,,Normal
587,616164.832,3097403.331,5.200,,,Normal
588,616164.358,3097402.451,5.200,,,Normal
589,616163.884,3097401.570,5.200,,,Normal
590,616163.410,3097400.690,5.200,,,Normal
591,616162.935,3097399.809,5.200,,,Normal
592,616162.461,3097398.929,5.200,,,Normal
593,616161.987,3097398.049,5.200,,,Normal
594,616161.513,3097397.168,5.200,,,Normal
595,616161.038,3097396.288,5.200,,,Normal
596,616160.564,3097395.407,5.200,,,Normal
597,616160.090,3097394.527,5.200,,,Normal
598,616159.616,3097393.647,5.200,,,Normal
599,616159.141,3097392.766,5.200,,,Normal
600,616158.667,3097391.886,5.200,,,Normal
601,616158.193,3097391.005,5.200,,,Normal
602,616157.719,3097390.125,5.200,,,Normal
603,616157.245,3097389.245,5.200,,,Normal
604,616156.770,3097388.364,5.200,,,Normal
605,616156.296,3097387.484,5.200,,,Normal
606,616155.822,3097386.603,5.200,,,Normal
